,grupo_id,Initial_Liters,Final_Liters,Initial_mA,Final_mA,Consumed_Liters,label
0,0,267.4748698,277.9954728,5.310059,5.371094,10.52060295,Stable
1,1,299.0366787,372.6810717,5.493164,5.92041,73.64439302,Tank Refilling
2,2,320.0778846,299.0366787,5.615234,5.493164,-21.0412059,Toilet flushing
3,3,246.4334916,294.573562,5.187988,5.493164,52.60318712,Tank Refilling
4,4,351.6398658,278.238326,5.79834,5.371094,-73.64439302,Washing clothes
5,5,294.4958999,277.259495,5.493164,5.371094,-16.2560297,Toilet flushing
6,6,303.9847379,267.4748698,5.493164,5.310059,-31.56180885,Taking a bath
7,7,295.7650902,193.8304768,5.493164,4.882813,-105.2062019,Washing clothes
8,8,214.8716827,141.2272897,5.004883,4.577637,-78.1403569,Washing clothes
9,9,183.3097015,130.7066867,4.821777,4.516602,-52.60301475,Taking a bath
10,10,88.62410257,137.5572703,4.272461,4.577637,52.4390046,Tank Refilling
11,11,247.504657,625.176232,5.187988,7.385254,378.7427404,Tank Refilling
12,12,709.341228,646.2174379,7.873535,7.507324,-63.12379007,Washing clothes
13,13,698.820625,730.3824339,7.8125,7.995605,31.56180885,Tank Refilling
14,14,761.9444151,725.8249617,8.178711,7.995605,-31.56198122,Taking a bath
15,15,730.3824339,698.820625,7.995605,7.8125,-27.9526729,Taking a bath
16,16,758.966497,667.2588162,8.178711,7.629395,-94.68559892,Washing clothes
17,17,706.3744004,668.5712882,7.873535,7.629395,-42.0824118,Taking a bath
18,18,677.7794191,729.4295219,7.69043,7.995605,52.60301475,Tank Refilling
19,19,682.6060714,709.341228,7.69043,7.873535,34.6852531,Tank Refilling
20,20,646.2174379,711.158918,7.507324,7.873535,63.12379007,Tank Refilling
21,21,698.4078914,677.7794191,7.8125,7.69043,-21.8468021,Toilet flushing
22,22,751.4238121,729.3167013,8.117676,7.995605,-21.04137827,Toilet flushing
23,23,726.4965861,705.0990911,7.995605,7.873535,-16.6647171,Toilet flushing
24,24,732.8080582,704.3779933,7.995605,7.873535,-25.3115394,Toilet flushing
25,25,625.176232,645.7943255,7.385254,7.507324,21.0412059,Stable
26,26,623.363902,698.7571542,7.385254,7.8125,69.5237764,Tank Refilling
27,27,708.5760265,627.1781763,7.873535,7.385254,-84.16499597,Washing clothes
28,28,667.2588162,519.9698577,7.629395,6.774902,-147.2889584,Washing clothes
29,29,562.0524419,488.4080489,7.019043,6.591797,-68.7716689,Washing clothes
30,30,467.366843,456.8460677,6.469727,6.408691,-10.52077532,Toilet flushing
31,31,469.5686344,455.9102849,6.469727,6.408691,-10.5764749,Toilet flushing
32,32,456.8460677,435.8048618,6.408691,6.286621,-21.2182462,Toilet flushing
33,33,453.0435556,453.3490887,6.408691,6.408691,0,Stable
34,34,488.4080489,457.8473304,6.591797,6.408691,-27.7147125,Taking a bath
35,35,435.8048618,458.6651814,6.286621,6.408691,16.2795742,Stable
36,36,456.7450511,404.2430529,6.408691,6.103516,-56.0007811,Taking a bath
37,37,440.2921128,425.2842588,6.286621,6.225586,-10.52060295,Toilet flushing
38,38,404.2430529,435.518242,6.103516,6.286621,36.4869342,Tank Refilling
39,39,400.994978,436.7886935,6.103516,6.286621,27.8514203,Tank Refilling
40,40,431.0770224,452.8622191,6.286621,6.408691,20.4406256,Stable
41,41,438.823333,458.3935166,6.286621,6.408691,22.6389785,Stable
42,42,469.1332008,428.1373274,6.469727,6.225586,-42.08258417,Taking a bath
43,43,372.6810717,383.2016747,5.92041,5.981445,14.3193344,Stable
44,44,383.2016747,402.9780907,5.981445,6.103516,21.04137827,Stable
45,45,371.4219078,297.4738102,5.92041,5.493164,-76.4832875,Washing clothes
46,46,351.1751253,268.2499864,5.79834,5.310059,-82.2292915,Washing clothes
47,47,235.9128886,109.6653085,5.126953,4.394531,-126.2475801,Washing clothes
48,48,141.2272897,183.3097015,4.577637,4.821777,42.0824118,Tank Refilling
49,49,136.4059182,128.0822564,4.577637,4.516602,-11.1081208,Toilet flushing
50,50,162.2684956,143.9715578,4.699707,4.577637,-17.4903809,Toilet flushing
51,51,136.858429,127.2031783,4.577637,4.516602,-10.5994353,Toilet flushing
52,52,130.7066867,131.3051508,4.516602,4.516602,0.1740327,Stable
53,53,144.0902067,133.7712522,4.577637,4.516602,-8.3706993,Toilet flushing
54,54,127.3030762,88.62410257,4.516602,4.272461,-42.7419327,Taking a bath
55,55,128.0714134,57.06212135,4.516602,4.089355,-73.64456539,Washing clothes
56,56,78.10349962,78.10349962,4.211426,4.211426,3.4438202,Stable
57,57,75.4348271,59.2425496,4.211426,4.089355,-18.4586482,Toilet flushing
58,58,109.6653085,108.0343896,4.394531,4.394531,-0.0472673,Stable
59,59,57.06212135,162.2684956,4.089355,4.699707,105.2063742,Tank Refilling
60,60,92.661069,108.4807308,4.272461,4.394531,20.5889071,Stable
61,61,87.4220488,74.2556872,4.272461,4.211426,-8.5523022,Toilet flushing
62,62,126.2778124,87.9357576,4.516602,4.272461,-44.9919137,Taking a bath
63,63,25.5003125,46.5415184,3.90625,4.02832,19.9962186,Stable
64,64,80.5899485,467.366843,4.211426,6.469727,389.2633434,Tank Refilling
65,65,472.043057,428.1806374,6.469727,6.225586,-45.5332653,Taking a bath
